fill	showSelected1	PANEL	group	ymin	ymax	xmin	xmax
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FB6A4A	people severely injured	1	2	0	3	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FB6A4A	people severely injured	1	2	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	2	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
