colour	x	y	group	clickSelects	showSelected1	PANEL
#D9D9D9	1250269200	2176.03225806452	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1252947600	2296.53333333333	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1255539600	1871.70967741936	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1258218000	1664.16666666667	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1260810000	712.838709677419	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1263488400	480.225806451613	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1266166800	404.892857142857	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1268586000	935.923076923077	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1271264400	2353.94117647059	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1273856400	2492.1935483871	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1276534800	2348.86666666667	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1279126800	2301.54838709677	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1281805200	2265.48387096774	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1284483600	2187.5	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1287075600	1739.83870967742	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1289754000	1433.82352941176	9	Saint-Urbain	Saint-Urbain	2
#BC80BD	1360861200	198.25	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1363280400	497.645161290323	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1365958800	1537.23333333333	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1368550800	2746.41935483871	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1371229200	2828.6	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1373821200	3238.38709677419	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1376499600	3162.70967741936	10	Totem_Laurier	Totem_Laurier	2
#BC80BD	1379178000	2888.77777777778	10	Totem_Laurier	Totem_Laurier	2
